title,area,station1,station2,station3,building_age,stories_tall,floor,price,administrative_cost,deposit,gratuity,rooms,sq_meters,link
冨士野コーポ,東京都国分寺市本多１,ＪＲ中央線/国分寺駅 歩10分,ＪＲ武蔵野線/西国分寺駅 歩27分,西武国分寺線/恋ヶ窪駅 歩27分,42.0,4.0,4.0,9000.0,0.0,9000.0,9000.0,3.0,53.0,https://suumo.jp/chintai/jnc_000055576968/?bc=100186933907
ヴァンヴェール２,東京都西東京市富士町２,西武新宿線/東伏見駅 歩9分,西武新宿線/西武柳沢駅 歩20分,西武池袋線/保谷駅 歩23分,3.0,4.0,1.0,11500.0,5000.0,11500.0,11500.0,1.0,48.0,https://suumo.jp/chintai/jnc_000055773080/?bc=100186875705
エミネンス,東京都昭島市田中町１,ＪＲ青梅線/昭島駅 歩16分,ＪＲ青梅線/中神駅 歩28分,ＪＲ青梅線/拝島駅 歩31分,9.0,2.0,2.0,7800.0,5000.0,7800.0,3900.0,1.0,46.7,https://suumo.jp/chintai/jnc_000055772906/?bc=100186871058
アルカサーノ,東京都西東京市芝久保町４,西武新宿線/花小金井駅 歩14分,西武新宿線/田無駅 歩23分,西武新宿線/西武柳沢駅 車8分(3.2km),13.0,2.0,2.0,8000.0,3000.0,4000.0,8000.0,1.0,40.0,https://suumo.jp/chintai/jnc_000055736166/?bc=100186791859
アルカサーノ,東京都西東京市芝久保町４,西武新宿線/花小金井駅 歩14分,西武新宿線/田無駅 歩23分,西武新宿線/西武柳沢駅 車8分(3.2km),13.0,2.0,2.0,8000.0,3000.0,4000.0,8000.0,1.0,40.0,https://suumo.jp/chintai/jnc_000055755216/?bc=100184389064
アイ・ヴィレッジII,東京都国分寺市西恋ヶ窪１,ＪＲ中央線/西国分寺駅 歩7分,西武国分寺線/恋ヶ窪駅 歩16分,ＪＲ中央線/国分寺駅 歩18分,2.0,2.0,2.0,8500.0,2500.0,0.0,8500.0,1.0,36.67,https://suumo.jp/chintai/jnc_000055772999/?bc=100186793393
ＪＲ中央線 西国分寺駅 2階建 築2年,東京都国分寺市西恋ヶ窪１,ＪＲ中央線/西国分寺駅 歩7分,ＪＲ中央線/国分寺駅 歩18分,西武国分寺線/恋ヶ窪駅 歩16分,2.0,2.0,2.0,8500.0,2500.0,0.0,8500.0,1.0,36.67,https://suumo.jp/chintai/jnc_000055773000/?bc=100186913648
ＪＲ中央線 西国分寺駅 2階建 築2年,東京都国分寺市西恋ヶ窪１,ＪＲ中央線/西国分寺駅 歩7分,ＪＲ中央線/国分寺駅 歩18分,西武国分寺線/恋ヶ窪駅 歩16分,2.0,2.0,2.0,8500.0,2500.0,0.0,8500.0,1.0,36.67,https://suumo.jp/chintai/jnc_000055794341/?bc=100186995635
西武池袋線 保谷駅 3階建 築28年,東京都西東京市東町５,西武池袋線/保谷駅 歩10分,西武新宿線/東伏見駅 歩19分,西武池袋線/ひばりヶ丘駅 車12分(3.1km),28.0,3.0,1.0,7700.0,3000.0,0.0,7700.0,2.0,43.2,https://suumo.jp/chintai/jnc_000055786671/?bc=100186927955
西武池袋線 保谷駅 3階建 築28年,東京都西東京市東町５,西武池袋線/保谷駅 歩10分,西武新宿線/東伏見駅 歩19分,西武池袋線/ひばりヶ丘駅 車12分(3.1km),28.0,3.0,1.0,7900.0,3000.0,0.0,7900.0,2.0,43.2,https://suumo.jp/chintai/jnc_000050102862/?bc=100186927953
ＪＲ中央線 武蔵小金井駅 2階建 新築,東京都小金井市中町１,ＪＲ中央線/武蔵小金井駅 歩10分,ＪＲ中央線/東小金井駅 歩19分,西武多摩川線/新小金井駅 歩20分,0.0,2.0,2.0,11200.0,5000.0,0.0,22400.0,1.0,48.2,https://suumo.jp/chintai/jnc_000055485470/?bc=100186911520
シャン・ド・フルール,東京都小金井市梶野町１,ＪＲ中央線/東小金井駅 歩7分,ＪＲ中央線/武蔵境駅 歩22分,ＪＲ中央線/武蔵小金井駅 歩30分,2.0,3.0,3.0,11900.0,5500.0,0.0,23800.0,1.0,45.2,https://suumo.jp/chintai/jnc_000055786551/?bc=100186948472
シャン・ド・フルール,東京都小金井市梶野町１,ＪＲ中央線/東小金井駅 歩7分,ＪＲ中央線/武蔵境駅 歩22分,ＪＲ中央線/武蔵小金井駅 歩30分,2.0,3.0,3.0,11900.0,5500.0,0.0,23800.0,1.0,45.2,https://suumo.jp/chintai/jnc_000055786550/?bc=100186928678
シャン・ド・フルール,東京都小金井市梶野町１,ＪＲ中央線/東小金井駅 歩7分,ＪＲ中央線/武蔵境駅 歩22分,ＪＲ中央線/武蔵小金井駅 歩30分,2.0,3.0,3.0,13800.0,5500.0,0.0,27600.0,2.0,55.33,https://suumo.jp/chintai/jnc_000055357140/?bc=100185100214
グランシャリオ,東京都羽村市羽東３,ＪＲ青梅線/羽村駅 歩9分,ＪＲ青梅線/小作駅 歩29分,,14.0,3.0,1.0,5700.0,3000.0,0.0,0.0,1.0,28.15,https://suumo.jp/chintai/jnc_000055773069/?bc=100186867690
グランシャリオ,東京都羽村市羽東３,ＪＲ青梅線/羽村駅 歩9分,ＪＲ青梅線/小作駅 歩29分,,14.0,3.0,1.0,6100.0,3000.0,0.0,0.0,1.0,28.15,https://suumo.jp/chintai/jnc_000054617800/?bc=100182043784
グランシャリオ,東京都羽村市羽東３,ＪＲ青梅線/羽村駅 歩9分,ＪＲ青梅線/小作駅 歩29分,,14.0,3.0,1.0,6600.0,3000.0,0.0,0.0,1.0,43.31,https://suumo.jp/chintai/jnc_000054909496/?bc=100154108826
瑞穂町石畑アパート,東京都西多摩郡瑞穂町大字石畑,ＪＲ八高線/箱根ヶ崎駅 歩18分,ＪＲ青梅線/福生駅 車15分(5.5km),ＪＲ青梅線/羽村駅 車15分(5.0km),0.0,2.0,1.0,7500.0,4000.0,0.0,0.0,2.0,61.81,https://suumo.jp/chintai/jnc_000055617157/?bc=100186570378
瑞穂町石畑アパート,東京都西多摩郡瑞穂町大字石畑,ＪＲ八高線/箱根ヶ崎駅 歩18分,ＪＲ青梅線/福生駅 車15分(5.5km),ＪＲ青梅線/羽村駅 車15分(5.0km),0.0,2.0,1.0,7500.0,4000.0,0.0,0.0,2.0,61.81,https://suumo.jp/chintai/jnc_000055654135/?bc=100186570485
ラ・シード国分寺,東京都国分寺市南町２,ＪＲ中央線/国分寺駅 歩5分,京王線/府中駅 バス16分 (バス停)南二丁目 歩3分,ＪＲ武蔵野線/西国分寺駅 歩25分,13.0,5.0,3.0,8100.0,6000.0,8100.0,8100.0,1.0,28.79,https://suumo.jp/chintai/jnc_000055722699/?bc=100186898596
ラ・シード国分寺,東京都国分寺市南町２,ＪＲ中央線/国分寺駅 歩5分,京王線/府中駅 バス16分 (バス停)南二丁目 歩3分,ＪＲ武蔵野線/西国分寺駅 歩25分,13.0,5.0,3.0,9200.0,10500.0,0.0,9200.0,1.0,28.79,https://suumo.jp/chintai/jnc_000045998775/?bc=100143448904
ラ・シード国分寺,東京都国分寺市南町２,ＪＲ中央線/国分寺駅 歩5分,京王線/府中駅 バス16分 (バス停)南二丁目 歩3分,ＪＲ武蔵野線/西国分寺駅 歩25分,13.0,5.0,3.0,9200.0,10500.0,0.0,9200.0,1.0,20.51,https://suumo.jp/chintai/jnc_000045961290/?bc=100121723759
ＪＲ中央線 国分寺駅 2階建 築16年,東京都国分寺市南町２,ＪＲ中央線/国分寺駅 歩7分,ＪＲ中央線/武蔵小金井駅 歩28分,ＪＲ武蔵野線/北府中駅 歩35分,16.0,2.0,1.0,6500.0,1000.0,6500.0,0.0,1.0,23.1,https://suumo.jp/chintai/jnc_000055779938/?bc=100186913652
ＪＲ中央線 国分寺駅 2階建 築16年,東京都国分寺市南町２,ＪＲ中央線/国分寺駅 歩7分,ＪＲ中央線/武蔵小金井駅 歩28分,ＪＲ武蔵野線/北府中駅 歩35分,16.0,2.0,1.0,6500.0,1000.0,6500.0,0.0,1.0,23.0,https://suumo.jp/chintai/jnc_000055051559/?bc=100183856668
グリーンガーデン,東京都福生市南田園２,ＪＲ五日市線/熊川駅 歩8分,ＪＲ青梅線/牛浜駅 歩15分,ＪＲ五日市線/拝島駅 歩18分,13.0,2.0,1.0,5500.0,3000.0,0.0,0.0,1.0,30.29,https://suumo.jp/chintai/jnc_000045246995/?bc=100186867688
グリーンガーデン,東京都福生市南田園２,ＪＲ五日市線/熊川駅 歩8分,ＪＲ青梅線/牛浜駅 歩15分,ＪＲ五日市線/拝島駅 歩18分,13.0,2.0,1.0,6300.0,3000.0,0.0,0.0,1.0,41.23,https://suumo.jp/chintai/jnc_000052395938/?bc=100170757578
ＪＲ八高線 箱根ヶ崎駅 2階建 築16年,東京都西多摩郡瑞穂町大字石畑,ＪＲ八高線/箱根ヶ崎駅 歩22分,ＪＲ青梅線/昭島駅 バス36分 (バス停)石畑駐在所 歩4分,ＪＲ中央線/立川駅 バス40分 (バス停)石畑駐在所 歩4分,16.0,2.0,1.0,6400.0,0.0,0.0,0.0,2.0,57.96,https://suumo.jp/chintai/jnc_000055736180/?bc=100186734846
ＪＲ八高線 箱根ヶ崎駅 2階建 築16年,東京都西多摩郡瑞穂町大字石畑,ＪＲ八高線/箱根ヶ崎駅 歩22分,ＪＲ青梅線/昭島駅 バス36分 (バス停)石畑駐在所 歩4分,ＪＲ中央線/立川駅 バス40分 (バス停)石畑駐在所 歩4分,16.0,2.0,1.0,6400.0,3000.0,0.0,0.0,2.0,57.96,https://suumo.jp/chintai/jnc_000054501662/?bc=100182188250
小金井本町ビル,東京都小金井市本町１,ＪＲ中央線/武蔵小金井駅 歩1分,ＪＲ中央線/東小金井駅 歩23分,西武多摩川線/新小金井駅 歩26分,29.0,地下1地上11,10.0,6900.0,5000.0,6900.0,6900.0,1.0,30.38,https://suumo.jp/chintai/jnc_000055779865/?bc=100186993473
小金井本町ビル,東京都小金井市本町１,ＪＲ中央線/武蔵小金井駅 歩1分,ＪＲ中央線/東小金井駅 歩23分,西武多摩川線/新小金井駅 歩26分,29.0,地下1地上11,10.0,6900.0,5000.0,6900.0,6900.0,1.0,30.38,https://suumo.jp/chintai/jnc_000055779868/?bc=100186993468
小金井本町ビル,東京都小金井市本町１,ＪＲ中央線/武蔵小金井駅 歩1分,ＪＲ中央線/東小金井駅 歩23分,西武多摩川線/新小金井駅 歩26分,29.0,地下1地上11,10.0,6900.0,5000.0,6900.0,6900.0,1.0,30.38,https://suumo.jp/chintai/jnc_000055779869/?bc=100186993470
小金井本町ビル,東京都小金井市本町１,ＪＲ中央線/武蔵小金井駅 歩1分,ＪＲ中央線/東小金井駅 歩23分,西武多摩川線/新小金井駅 歩26分,29.0,地下1地上11,10.0,6900.0,5000.0,6900.0,6900.0,1.0,30.38,https://suumo.jp/chintai/jnc_000055779870/?bc=100186993475
小金井本町ビル,東京都小金井市本町１,ＪＲ中央線/武蔵小金井駅 歩1分,ＪＲ中央線/東小金井駅 歩23分,西武多摩川線/新小金井駅 歩26分,29.0,地下1地上11,10.0,12900.0,20000.0,12900.0,12900.0,3.0,70.95,https://suumo.jp/chintai/jnc_000055779866/?bc=100186929730
小金井本町ビル,東京都小金井市本町１,ＪＲ中央線/武蔵小金井駅 歩1分,ＪＲ中央線/東小金井駅 歩23分,西武多摩川線/新小金井駅 歩26分,29.0,地下1地上11,10.0,12900.0,20000.0,12900.0,12900.0,3.0,68.25,https://suumo.jp/chintai/jnc_000055779867/?bc=100186929723
千,東京都三鷹市牟礼３,京王井の頭線/三鷹台駅 歩10分,京王井の頭線/井の頭公園駅 歩14分,ＪＲ中央線/吉祥寺駅 歩25分,11.0,2.0,1.0,12900.0,3000.0,0.0,12900.0,1.0,49.43,https://suumo.jp/chintai/jnc_000054973997/?bc=100186545238
千,東京都三鷹市牟礼３,京王井の頭線/三鷹台駅 歩10分,京王井の頭線/井の頭公園駅 歩14分,ＪＲ中央線/吉祥寺駅 歩25分,11.0,2.0,1.0,14500.0,3000.0,0.0,14500.0,2.0,59.81,https://suumo.jp/chintai/jnc_000055765769/?bc=100186876836
京王井の頭線 三鷹台駅 2階建 築11年,東京都三鷹市牟礼３,京王井の頭線/三鷹台駅 歩9分,京王井の頭線/井の頭公園駅 歩15分,ＪＲ中央線/吉祥寺駅 歩25分,11.0,2.0,2.0,14500.0,3000.0,0.0,14500.0,2.0,59.81,https://suumo.jp/chintai/jnc_000055772886/?bc=100186884453
