title,area,station1,station2,station3,building_age,stories_tall,floor,price,administrative_cost,deposit,gratuity,rooms,sq_meters,link
ＪＲ中央線 国分寺駅 6階建 築6年,東京都国分寺市本多２,ＪＲ中央線/国分寺駅 歩12分,ＪＲ中央線/西国分寺駅 歩20分,西武国分寺線/恋ヶ窪駅 歩23分,6.0,6.0,6.0,12100.0,5000.0,0.0,12100.0,1.0,45.55,https://suumo.jp/chintai/jnc_000055111775/?bc=100184133077
ボヌール,東京都国分寺市日吉町１,ＪＲ中央線/西国分寺駅 歩7分,西武国分寺線/恋ヶ窪駅 歩17分,ＪＲ中央線/国立駅 歩20分,16.0,2.0,1.0,6800.0,2000.0,6800.0,0.0,1.0,26.09,https://suumo.jp/chintai/jnc_000055927429/?bc=100187581832
ＳＥＲＡＰＩＳ　ＢＥＹ,東京都昭島市緑町１,ＪＲ青梅線/昭島駅 歩10分,ＪＲ青梅線/拝島駅 歩18分,ＪＲ青梅線/中神駅 歩31分,14.0,3.0,1.0,6000.0,4000.0,6000.0,0.0,1.0,30.08,https://suumo.jp/chintai/jnc_000055939988/?bc=100187630380
平尾住宅58号棟,東京都稲城市平尾３,小田急多摩線/栗平駅 歩16分,小田急多摩線/栗平駅 バス5分 (バス停)平尾住宅21号棟前 歩1分,小田急線/新百合ヶ丘駅 バス9分 (バス停)台原 歩8分,49.0,3.0,3.0,7200.0,3000.0,0.0,0.0,1.0,51.01,https://suumo.jp/chintai/jnc_000055940083/?bc=100187655907
ＪＲ中央線 国立駅 3階建 築34年,東京都国分寺市光町１,ＪＲ中央線/国立駅 歩11分,ＪＲ中央線/西国分寺駅 歩30分,西武国分寺線/恋ヶ窪駅 歩30分,34.0,3.0,1.0,8300.0,0.0,0.0,0.0,2.0,45.36,https://suumo.jp/chintai/jnc_000055933400/?bc=100187614933
ファミール,東京都小金井市東町３,ＪＲ中央線/東小金井駅 歩6分,西武多摩川線/新小金井駅 歩7分,ＪＲ中央線/武蔵境駅 歩25分,18.0,2.0,2.0,8000.0,0.0,8000.0,8000.0,1.0,30.69,https://suumo.jp/chintai/jnc_000045479663/?bc=100187631450
クレール前原,東京都小金井市前原町４,ＪＲ中央線/武蔵小金井駅 歩14分,西武多摩川線/多磨駅 歩29分,ＪＲ中央線/東小金井駅 歩33分,0.0,2.0,1.0,9150.0,3000.0,0.0,9150.0,1.0,41.71,https://suumo.jp/chintai/jnc_000055291731/?bc=100184886099
クレール前原,東京都小金井市前原町４,ＪＲ中央線/武蔵小金井駅 歩14分,西武多摩川線/多磨駅 歩29分,ＪＲ中央線/東小金井駅 歩33分,0.0,2.0,1.0,9150.0,3000.0,0.0,9150.0,1.0,41.71,https://suumo.jp/chintai/jnc_000055291732/?bc=100184948778
クレール前原,東京都小金井市前原町４,ＪＲ中央線/武蔵小金井駅 歩14分,西武多摩川線/多磨駅 歩29分,ＪＲ中央線/東小金井駅 歩33分,0.0,2.0,1.0,9150.0,3000.0,0.0,9150.0,1.0,41.71,https://suumo.jp/chintai/jnc_000055291734/?bc=100187616701
クレール前原,東京都小金井市前原町４,ＪＲ中央線/武蔵小金井駅 歩14分,西武多摩川線/多磨駅 歩29分,ＪＲ中央線/東小金井駅 歩33分,0.0,2.0,1.0,9150.0,3000.0,0.0,9150.0,1.0,41.71,https://suumo.jp/chintai/jnc_000055291733/?bc=100187616706
